grp	var1	var2	vcov	sdcor	prop	feature	LRT.pval
mouse.ID	(Intercept)	NA	0.0855879251906892	0.292554140614501	0.0840798875660303	Acetatifactor	0.0032163839017354
mouse.ID	(Intercept)	NA	0.0470032663722333	0.216802367081712	0.050038394395083	Acutalibacter	0.0149874018414748
mouse.ID	(Intercept)	NA	0.131346208921515	0.362417175257348	0.134720782622416	Adlercreutzia	2.18320315381604e-07
mouse.ID	(Intercept)	NA	0.0725459226990993	0.269343503168536	0.0729868597230822	AF3328	0.00393192583464896
mouse.ID	(Intercept)	NA	0.112153749870351	0.334893639638544	0.115947353513407	Akkermansia	7.92888258605018e-07
mouse.ID	(Intercept)	NA	0.0847637222482727	0.291142099752462	0.0905723494662375	Alistipes	6.5983579561335e-06
mouse.ID	(Intercept)	NA	0.0786804874258712	0.280500423218702	0.0868504615113881	AM0715	0.00404207641286847
mouse.ID	(Intercept)	NA	0.0859258809046698	0.293131166723482	0.0854783963047172	Anaerotignum	0.00176339458786667
mouse.ID	(Intercept)	NA	0.0771991450341264	0.277847341239981	0.0801202640079256	Anaerotruncus	0.00357579366960714
mouse.ID	(Intercept)	NA	0.0372195345159173	0.192923649446918	0.0366849912578326	AnaerovoracaceaeNOV	0.0834546530353055
mouse.ID	(Intercept)	NA	0.0530619506525289	0.230351797589098	0.0563871096497669	Angelakisella	0.0179076186865487
mouse.ID	(Intercept)	NA	0.146297611222437	0.38248870731361	0.170138196593359	ASF356	4.32450663057082e-08
mouse.ID	(Intercept)	NA	0.0933651153864766	0.305557057497412	0.0848026224032934	Bacteroides	1.14691221405616e-05
mouse.ID	(Intercept)	NA	0.0684257254957906	0.261583113934731	0.0970678049572268	Bifidobacterium	5.84395649450009e-06
mouse.ID	(Intercept)	NA	0.0814943343516158	0.285472125349597	0.0841788261945472	BorkfalkiaceaeNOV	0.00483486601441419
mouse.ID	(Intercept)	NA	0.0927138435418631	0.304489480182589	0.0938485687846131	ButyricicoccaceaeNOV	0.000109531012943087
mouse.ID	(Intercept)	NA	0.079632865521178	0.282192957958164	0.072178786138453	CAG115	0.000175898706659017
mouse.ID	(Intercept)	NA	0.121576277860625	0.348677899874117	0.119873770310397	CAG145	2.51013349239493e-05
mouse.ID	(Intercept)	NA	0.0317510908654381	0.178188357827996	0.0323812940364583	CAG273	0.193965601277469
mouse.ID	(Intercept)	NA	0.00709861675956047	0.0842532893100351	0.00845903297161095	CAG274NOV	0.71161781388074
mouse.ID	(Intercept)	NA	0.0457722774771911	0.213944566365194	0.0466163034446891	CAG303	0.0397522254145761
mouse.ID	(Intercept)	NA	0	0	0	CAG41	0.99957884429224
mouse.ID	(Intercept)	NA	0.137154067824971	0.370343175750508	0.142847012283792	CAG475	8.3240319022071e-06
mouse.ID	(Intercept)	NA	0.0808052332823669	0.28426261323355	0.0889906207099348	CAG485	0.000350863567374127
mouse.ID	(Intercept)	NA	0.0272171688605615	0.164976267567676	0.0279251596884889	CAG510	0.00357939641331317
mouse.ID	(Intercept)	NA	0.15513292312487	0.393869170061418	0.152469518256281	CAG552NOV	1.69633316310369e-05
mouse.ID	(Intercept)	NA	0.0714911331661919	0.267378258589198	0.074412705902542	CAG56	0.0028581448876881
mouse.ID	(Intercept)	NA	0.0878538384652045	0.296401481887666	0.0873421608895742	CAG582	0.000725854267239479
mouse.ID	(Intercept)	NA	0.0700560117271009	0.26468096215463	0.0700196245355658	CAG776	0.0171226504511123
mouse.ID	(Intercept)	NA	0.0433966878964826	0.208318717105503	0.043892433886412	CAG81	0.126807069174866
