feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
Acidaminococcus	N	0.0082159364435376	0.0177095403346328	0.642729951733896	0.701831556491035
Actinomyces	N	0.0666883320311221	0.0149132042469946	7.97028552588943e-06	3.78588562479748e-05
Adlercreutzia	N	-0.00482877290514183	0.0143814429574741	0.737065914390151	0.764222542313214
Aeriscardovia	N	-0.0517873801851409	0.0134155886714359	0.000115030702466903	0.00045532986393149
Agathobaculum	N	0.0544631129287963	0.0160486975584804	0.000696335939568839	0.00216481778065578
Akkermansia	N	0.125684362099619	0.0166730599510366	5.85542441125818e-14	1.85421773023176e-12
Alistipes	N	0.0245393724022098	0.0146276696513136	0.0935015607471396	0.148044137849638
Allisonella	N	-0.00646704077320365	0.0177426855736398	0.715513406160927	0.755264150947645
Anaerobutyricum	N	-0.029729411996726	0.0128161446184842	0.0204068904684579	0.0412479700958191
Anaeromassilibacillus	N	0.0170429144915347	0.0163024331646494	0.295890133739135	0.369862667173919
Anaerostipes	N	-0.0310768058515639	0.012633217177741	0.0139375272566737	0.0307922113810232
Anaerotruncus	N	-0.0173887354563331	0.017481418901785	0.319946601952331	0.379936589818393
Bacteroides	N	-0.00787182519668277	0.0139892606917526	0.573666660296849	0.64115685562589
Barnesiella	N	0.0120058701699021	0.0161127218857001	0.456243530289602	0.522206450331472
Bifidobacterium	N	-0.0702236795945176	0.015051076365797	3.17393361552536e-06	1.67513163041616e-05
Bilophila	N	-0.00517591004779538	0.0157320538932059	0.742169562560244	0.764222542313214
Blautia	N	-0.0302621520750277	0.0128640778496594	0.0186970619424196	0.0393116805112434
Butyricimonas	N	0.0600573372656035	0.016021886428109	0.000180396156419372	0.000685505394393615
Butyrivibrio	N	0.120595001887754	0.0164294037947346	2.560017818184e-13	4.86403385454959e-12
Catenibacterium	N	0.0159960256858315	0.0150146269817974	0.286774519588027	0.363247724811501
Christensenella	N	-0.0209642851040524	0.0175581420866141	0.232555140518039	0.315534750204072
Clostridium	N	0.137183349134069	0.0170718633356897	1.21360091046739e-15	5.76460432472011e-14
Collinsella	N	0.0160975550991009	0.0160632740339185	0.316338200384639	0.379936589818393
Coprobacter	N	0.0216150035688999	0.015489631003393	0.16295606968472	0.249690751936265
Coprococcus	N	0.0401723491725137	0.0155063910297671	0.00961220875550998	0.0234143546608577
Denitrobacterium	N	0.0833543056898878	0.0159678800935115	1.88458217280538e-07	1.37719466474239e-06
Desulfovibrio	N	0.0765866314374633	0.0176092486008719	1.40103929328305e-05	6.33803489818523e-05
Dialister	N	-0.0779326246505434	0.0172859530975436	6.71703338382529e-06	3.35851669191265e-05
Dielma	N	0.014321582020875	0.017376967355434	0.409894181099463	0.474877404932305
Dorea	N	-0.0194373551925019	0.0144359736342143	0.178231025025584	0.260491498114316
Eggerthella	N	-0.0443977358972234	0.0172345125973281	0.010027743201179	0.0238158901028
Eisenbergiella	N	0.00639372209076277	0.0173791539875062	0.712970002577193	0.755264150947645
Enorma	N	0.0232090330654401	0.0127411736577051	0.0685920058777435	0.118477101061557
Enterocloster	N	-0.0201287332586033	0.0155990771090913	0.196991704674478	0.277040654332512
Enterococcus	N	0.0195437054918058	0.0173941833296822	0.261259263009421	0.33999493131363
Erysipelatoclostridium	N	-0.0540162066758858	0.0169824154172327	0.00148012759325355	0.00426097337451779
Escherichia	N	0.0363953887495326	0.0159605904078595	0.0226394144468233	0.0429464500199687
Eubacterium	N	0.0392628830368575	0.0172488649265245	0.0228825878655539	0.0429464500199687
Faecalibacterium	N	-0.00822986957378082	0.0171370839237984	0.631084910378986	0.69712868006981
Faecalitalea	N	0.059005397960052	0.0174828709203413	0.000747234830368942	0.0022183534026578
Flavonifractor	N	-0.0577372516016987	0.0154930486149642	0.000196653251063596	0.000718540725040061
Fusicatenibacter	N	-0.0228948466219806	0.0140500329126653	0.103279281674832	0.160844782936214
Gemella	N	0.0288911931412999	0.0168708961181306	0.0868830766156492	0.139896479296384
Gemmiger	N	0.019853416708125	0.0167444190379192	0.235820708047254	0.315534750204072
Gordonibacter	N	-0.00912626089828043	0.0152743569481213	0.550213961579205	0.622265789881244
Haemophilus	N	-0.000515098023257302	0.0165679871536378	0.975199348624475	0.975199348624475
Holdemanella	N	0.0420538483371601	0.0166898443623403	0.0117824386527706	0.0266507540955527
Holdemania	N	0.0339279206275725	0.0169347057184049	0.0451947869831366	0.079509347470333
