feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
Acetatifactor	N	-0.16276713	0.04256115	0.00024850	0.00098235
Adlercreutzia	N	 0.11130141	0.05099620	0.03179265	0.06002642
Akkermansia	N	-0.02112024	0.05445923	0.69911805	0.74318011
Anaerotruncus	N	 0.05672761	0.04093607	0.16993175	0.24291781
Bacteria_unclassified	N	-0.10441843	0.04729311	0.03021021	0.05879371
Barnesiella	N	-0.01864491	0.04683442	0.69159456	0.73828449
Bifidobacterium	N	 0.34489604	0.05054415	0.00000000	0.00000003
Blautia	N	-0.15367498	0.04694516	0.00168334	0.00507006
Candidatus_Metalachnospira	N	 0.04006189	0.05443072	0.46417865	0.53870275
Candidatus_Metaruminococcus	N	-0.09815733	0.04720120	0.04149422	0.07401919
Clostridiaceae_unclassified	N	 0.06175793	0.04742412	0.19667272	0.27042500
Clostridium	N	 0.08248054	0.04474696	0.06902857	0.11489624
Desulfovibrio	N	 0.07992006	0.04914736	0.10870235	0.16567286
Dorea	N	 0.22366126	0.04643261	0.00000721	0.00004056
Duncaniella	N	 0.08171422	0.05260220	0.12359314	0.18444877
Enterococcus	N	 0.14239173	0.04381866	0.00172687	0.00513997
Enterorhabdus	N	 0.08582985	0.05185262	0.10094514	0.15764889
Erysipelatoclostridium	N	-0.02528688	0.05025019	0.61631386	0.67210089
Escherichia	N	 0.12271571	0.04136719	0.00410138	0.01069742
Eubacteriales_unclassified	N	-0.11351582	0.04898701	0.02288730	0.04632389
GGB14001	N	-0.28998547	0.04725005	0.00000010	0.00000102
GGB1559	N	-0.13737536	0.04844526	0.00577078	0.01377366
GGB20145	N	-0.11115524	0.04428037	0.01499665	0.03215384
GGB20146	N	-0.28508559	0.04540765	0.00000001	0.00000016
GGB20149	N	-0.03400696	0.05335950	0.52588207	0.59547281
GGB2126	N	 0.02582398	0.04010864	0.52145342	0.59426898
GGB24102	N	-0.16043989	0.04246441	0.00030846	0.00118244
GGB25041	N	 0.09769197	0.05512053	0.08076433	0.13014889
GGB25052	N	-0.01039474	0.04237242	0.80746765	0.83383394
GGB27860	N	-0.24521340	0.04456080	0.00000043	0.00000355
GGB27861	N	 0.58148425	0.04774968	0.00000000	0.00000000
GGB27875	N	-0.37745701	0.05549381	0.00000000	0.00000001
GGB27876	N	-0.10891810	0.04095573	0.00981970	0.02179284
GGB27879	N	-0.32196403	0.04603884	0.00000000	0.00000001
GGB27903	N	-0.06632591	0.03643865	0.07347400	0.11992853
GGB27905	N	 0.10805039	0.05237339	0.04210926	0.07450100
GGB27918	N	-0.20057668	0.05272375	0.00033305	0.00123915
GGB27929	N	 0.36318845	0.05378454	0.00000000	0.00000001
GGB28310	N	 0.39865488	0.05714341	0.00000000	0.00000001
GGB28330	N	 0.06259659	0.04638579	0.18104401	0.25446742
GGB28356	N	-0.14689031	0.04012932	0.00045247	0.00156814
GGB28381	N	-0.07573618	0.04766782	0.11586091	0.17448101
GGB28382	N	-0.19106319	0.03258168	0.00000001	0.00000011
GGB28392	N	-0.03398974	0.04909936	0.49059602	0.56418543
GGB28394	N	 0.11666388	0.04060143	0.00549030	0.01322901
GGB28396	N	-0.07788138	0.03761696	0.04301409	0.07505217
GGB28404	N	-0.27610618	0.03829692	0.00000000	0.00000001
GGB28411	N	-0.02062912	0.04834738	0.67085334	0.71917752
GGB28418	N	-0.18621499	0.04001981	0.00001746	0.00009015
GGB28420	N	-0.04358629	0.04025920	0.28270334	0.36306571
GGB28422	N	 0.05066222	0.04261469	0.23833881	0.31736694
GGB28430	N	-0.18537427	0.03444065	0.00000364	0.00002274
GGB28431	N	-0.26945552	0.03364202	0.00000000	0.00000001
GGB28433	N	 0.12298649	0.04616705	0.00933373	0.02108423
GGB28436	N	-0.12504071	0.04246359	0.00432225	0.01115847
GGB28437	N	-0.14109987	0.04504497	0.00245598	0.00698161
GGB28439	N	-0.16494327	0.04013578	0.00010629	0.00048893
GGB28456	N	-0.25644098	0.03488236	0.00000000	0.00000000
GGB28632	N	 0.05703788	0.04116634	0.16994645	0.24291781
GGB28645	N	-0.00817500	0.04633295	0.86053570	0.87788521
