feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age
Acidaminococcus	N	 0.00821594	0.01770954	0.64272995	0.70183156
Actinomyces	N	 0.06668833	0.01491320	0.00000797	0.00003786
Adlercreutzia	N	-0.00482877	0.01438144	0.73706591	0.76422254
Aeriscardovia	N	-0.05178738	0.01341559	0.00011503	0.00045533
Agathobaculum	N	 0.05446311	0.01604870	0.00069634	0.00216482
Akkermansia	N	 0.12568436	0.01667306	0.00000000	0.00000000
Alistipes	N	 0.02453937	0.01462767	0.09350156	0.14804414
Allisonella	N	-0.00646704	0.01774269	0.71551341	0.75526415
Anaerobutyricum	N	-0.02972941	0.01281614	0.02040689	0.04124797
Anaeromassilibacillus	N	 0.01704291	0.01630243	0.29589013	0.36986267
Anaerostipes	N	-0.03107681	0.01263322	0.01393753	0.03079221
Anaerotruncus	N	-0.01738874	0.01748142	0.31994660	0.37993659
Bacteroides	N	-0.00787183	0.01398926	0.57366666	0.64115686
Barnesiella	N	 0.01200587	0.01611272	0.45624353	0.52220645
Bifidobacterium	N	-0.07022368	0.01505108	0.00000317	0.00001675
Bilophila	N	-0.00517591	0.01573205	0.74216956	0.76422254
Blautia	N	-0.03026215	0.01286408	0.01869706	0.03931168
Butyricimonas	N	 0.06005734	0.01602189	0.00018040	0.00068551
Butyrivibrio	N	 0.12059500	0.01642940	0.00000000	0.00000000
Catenibacterium	N	 0.01599603	0.01501463	0.28677452	0.36324772
Christensenella	N	-0.02096429	0.01755814	0.23255514	0.31553475
Clostridium	N	 0.13718335	0.01707186	0.00000000	0.00000000
Collinsella	N	 0.01609756	0.01606327	0.31633820	0.37993659
Coprobacter	N	 0.02161500	0.01548963	0.16295607	0.24969075
Coprococcus	N	 0.04017235	0.01550639	0.00961221	0.02341435
Denitrobacterium	N	 0.08335431	0.01596788	0.00000019	0.00000138
Desulfovibrio	N	 0.07658663	0.01760925	0.00001401	0.00006338
Dialister	N	-0.07793262	0.01728595	0.00000672	0.00003359
Dielma	N	 0.01432158	0.01737697	0.40989418	0.47487740
Dorea	N	-0.01943736	0.01443597	0.17823103	0.26049150
Eggerthella	N	-0.04439774	0.01723451	0.01002774	0.02381589
Eisenbergiella	N	 0.00639372	0.01737915	0.71297000	0.75526415
Enorma	N	 0.02320903	0.01274117	0.06859201	0.11847710
Enterocloster	N	-0.02012873	0.01559908	0.19699170	0.27704065
Enterococcus	N	 0.01954371	0.01739418	0.26125926	0.33999493
Erysipelatoclostridium	N	-0.05401621	0.01698242	0.00148013	0.00426097
Escherichia	N	 0.03639539	0.01596059	0.02263941	0.04294645
Eubacterium	N	 0.03926288	0.01724886	0.02288259	0.04294645
Faecalibacterium	N	-0.00822987	0.01713708	0.63108491	0.69712868
Faecalitalea	N	 0.05900540	0.01748287	0.00074723	0.00221835
Flavonifractor	N	-0.05773725	0.01549305	0.00019665	0.00071854
Fusicatenibacter	N	-0.02289485	0.01405003	0.10327928	0.16084478
Gemella	N	 0.02889119	0.01687090	0.08688308	0.13989648
Gemmiger	N	 0.01985342	0.01674442	0.23582071	0.31553475
Gordonibacter	N	-0.00912626	0.01527436	0.55021396	0.62226579
Haemophilus	N	-0.00051510	0.01656799	0.97519935	0.97519935
Holdemanella	N	 0.04205385	0.01668984	0.01178244	0.02665075
Holdemania	N	 0.03392792	0.01693471	0.04519479	0.07950935
Hungatella	N	-0.02277649	0.01732969	0.18881951	0.27178566
Intestinibacter	N	 0.01879463	0.01672612	0.26121952	0.33999493
Intestinimonas	N	 0.04268661	0.01640683	0.00930842	0.02327105
InvSimpson	Y	 0.08339588	0.01523881	0.00000005	0.00000050
Klebsiella	N	 0.04867833	0.01413354	0.00057856	0.00203567
Lachnoclostridium	N	-0.01793344	0.01734839	0.30132795	0.37176825
Lachnospira	N	 0.03833761	0.01686369	0.02305546	0.04294645
Lacrimispora	N	-0.03886656	0.01770502	0.02820868	0.05153509
Lactobacillus	N	 0.04872925	0.01757940	0.00559895	0.01477501
Lactococcus	N	 0.02355914	0.01745418	0.17716565	0.26049150
Lawsonibacter	N	 0.09783919	0.01440523	0.00000000	0.00000000
Leuconostoc	N	 0.08739074	0.01662158	0.00000015	0.00000121
Ligilactobacillus	N	 0.05112840	0.01626851	0.00168545	0.00470936
Mediterraneibacter	N	-0.05256440	0.01548662	0.00069487	0.00216482
Megamonas	N	-0.05790049	0.01704011	0.00068559	0.00216482
Megasphaera	N	 0.02889001	0.01661374	0.08212374	0.13451302
Methanobrevibacter	N	 0.12535581	0.01707122	0.00000000	0.00000000
Mitsuokella	N	 0.02942410	0.01675792	0.07919215	0.13198691
Mogibacterium	N	 0.08874171	0.01649373	0.00000008	0.00000075
Monoglobus	N	 0.02369253	0.01751730	0.17629296	0.26049150
Observed	Y	 0.07758346	0.01455841	0.00000010	0.00000090
Odoribacter	N	-0.00455909	0.01562932	0.77052986	0.77872699
Oscillibacter	N	 0.08627654	0.01707659	0.00000046	0.00000310
Parabacteroides	N	-0.00502690	0.01565412	0.74813365	0.76422254
Paraprevotella	N	 0.02147146	0.01776817	0.22696317	0.31248553
Parasutterella	N	-0.03967455	0.01555968	0.01081367	0.02505607
Phascolarctobacterium	N	 0.08729788	0.01748684	0.00000062	0.00000395
Phocaeicola	N	-0.03386651	0.01393113	0.01510004	0.03260237
Prevotella	N	 0.02085660	0.01621050	0.19830278	0.27704065
Pseudoflavonifractor	N	-0.01606126	0.01774320	0.36541550	0.42857373
Romboutsia	N	-0.01657170	0.01661206	0.31854797	0.37993659
Roseburia	N	 0.01941025	0.01751202	0.26775779	0.34374311
Rothia	N	 0.05955491	0.01756511	0.00070641	0.00216482
Ruminococcus	N	 0.06809604	0.01706300	0.00006707	0.00027701
Ruthenibacterium	N	 0.03477363	0.01482396	0.01903513	0.03931168
Schaalia	N	 0.02853058	0.01602169	0.07502957	0.12728230
Sellimonas	N	-0.03567962	0.01770387	0.04394170	0.07876343
