feature	is.community.feat	solution.age	std.error.age	pval.age	padj.age	solution.1D	solution.2D	solution.20	solution.40	std.error.1D	std.error.2D	std.error.20	std.error.40	pval.DR	padj.DR	herit	herit.se	herit.pval	herit.padj	PVE.Cohort	PVE.Quarter.Date	PVE.Cage	PVE.Batch	PVE.Mouse
Acetatifactor	N	-0.04428310	0.03314698	0.18165892	0.22620028	-0.37354595	-0.37834309	-0.19330535	-0.13231502	0.08730032	0.08967831	0.08368975	0.08795045	0.00001427	0.00002399	0.01815948	0.01989508	0.38949793	0.47140170	0.12432784	0.02099982	0.15027614	0.03495457	0.06273794
Adlercreutzia	N	 0.02027533	0.03077786	0.51003271	0.56452338	 0.27097584	 0.26184046	 0.19933669	-0.25472031	0.07120382	0.07021329	0.06868682	0.07209211	0.00000000	0.00000000	0.10295632	0.02767341	0.00000871	0.00013264	0.08975356	0.00810791	0.01513727	0.07109425	0.04715592
Akkermansia	N	-0.05650111	0.03735932	0.13046187	0.16727537	-0.00994226	-0.06656045	 0.23807330	 0.62287549	0.07442408	0.07442863	0.07241858	0.07559176	0.00000000	0.00000000	0.12210795	0.03083422	0.00000096	0.00002362	0.00994910	0.04225167	0.02736025	0.03496601	0.08107765
Anaerotruncus	N	 0.04189442	0.02353593	0.07509435	0.10513209	 0.08015007	-0.03204187	-0.05749656	 0.10626631	0.07482043	0.07509080	0.07304852	0.07608157	0.21975051	0.22585469	0.06610500	0.03299651	0.02765597	0.05235881	0.01189911	0.00000007	0.02043807	0.02188373	0.18448688
Bacteria_unclassified	N	-0.15138597	0.02183944	0.00000000	0.00000000	-0.11018067	-0.45269790	-0.48663961	-1.20520154	0.06510667	0.06473270	0.06355558	0.06605669	0.00000000	0.00000000	0.05948291	0.02741815	0.00992846	0.02380992	0.00410323	0.00000008	0.02010285	0.03029749	0.09902755
Barnesiella	N	 0.03223486	0.03829913	0.40004202	0.46254858	-0.08317237	-0.03585099	 0.10128964	-0.01324970	0.07495245	0.07442672	0.07249011	0.07584265	0.23073792	0.23620997	0.05448243	0.03067051	0.04885497	0.07908399	0.01949567	0.03641861	0.00934781	0.04906807	0.20466013
Bifidobacterium	N	 0.43198906	0.03294838	0.00000000	0.00000000	-0.06230248	 0.18313919	 0.02194420	 0.66555029	0.07670956	0.07692309	0.07298146	0.07709195	0.00000000	0.00000000	0.08168871	0.02497930	0.00005053	0.00043627	0.03940330	0.02839024	0.09533156	0.08989037	0.04613657
Blautia	N	-0.16718099	0.03090448	0.00000006	0.00000022	 0.18913202	 0.21716556	 0.27804745	 0.28511086	0.07001729	0.06860793	0.06753595	0.07076555	0.00010208	0.00015832	0.06778748	0.02649204	0.00200372	0.00656914	0.01151909	0.00679524	0.00000008	0.06395577	0.08827137
Candidatus_Metalachnospira	N	 0.05268496	0.03175296	0.09713286	0.12835414	 0.01222361	-0.07041318	-0.01353761	-0.02846512	0.07204913	0.07123065	0.07004522	0.07307290	0.83461677	0.83785172	0.09315679	0.02977315	0.00066214	0.00290954	0.03282369	0.01204924	0.01100003	0.04143549	0.05567577
Candidatus_Metaruminococcus	N	-0.08674911	0.03268739	0.00795312	0.01430457	 0.01579964	-0.10656862	 0.20567262	 0.39909655	0.07444154	0.07408275	0.07235446	0.07558024	0.00000000	0.00000000	0.10766313	0.03282646	0.00029955	0.00172408	0.02537793	0.01650893	0.01554435	0.03860953	0.11114958
