feature	full.pathway.name	is.community.feat	solution.age	std.error.age	pval.age	padj.age
ALLANTOINDEGPWY	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	N	0.0300019177362833	0.0170719825820593	0.0789332614652296	0.123204525504424
ANAEROFRUCATPWY	ANAEROFRUCAT-PWY: homolactic fermentation	N	-0.0248191622411835	0.0159182199382738	0.119034450356585	0.175857480156436
ANAGLYCOLYSISPWY	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	N	-0.0551499911427416	0.0152844594536087	0.000311961406686971	0.000891320994677105
ARGDEGPWY	ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	N	0.0627724067610706	0.0155537926342971	5.54035939205518e-05	0.000220998780194201
ARGININESYN4PWY	ARGININE-SYN4-PWY: L-ornithine biosynthesis II	N	-0.00643464994069527	0.0141595915035547	0.64953800795503	0.742624665146038
ARGORNPROSTPWY	ARGORNPROST-PWY: arginine, ornithine and proline interconversion	N	0.0388059327615141	0.016613780827846	0.0195514924683244	0.0365572176881691
ARGPOLYAMINESYN	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	N	0.103361267374048	0.0167596470214648	7.62629980969446e-10	2.73784163168031e-08
ARGSYNBSUBPWY	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	N	0.0282413361775603	0.0127260426260044	0.0265293066924838	0.0481011166798065
ARGSYNPWY	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	N	0.0224333861654402	0.0129974721983535	0.0844262947532732	0.130081715950322
AROPWY	ARO-PWY: chorismate biosynthesis I	N	-0.0161095559364236	0.015261249335573	0.291219810825643	0.37472369923443
ASPASNPWY	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	N	-0.065596169634757	0.0150641751247533	1.36660904168182e-05	7.32257680542944e-05
ASTPWY	AST-PWY: L-arginine degradation II (AST pathway)	N	0.0712744797192341	0.0157869201332782	6.51642518878884e-06	4.10420463644771e-05
BIOTINBIOSYNTHESISPWY	BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	N	0.0109431547330506	0.0161612169759588	0.498365467852086	0.594396023119266
BRANCHEDCHAINAASYNPWY	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	N	-0.0668270075490224	0.0151088784051124	9.98537504240257e-06	5.69007879400401e-05
CALVINPWY	CALVIN-PWY: Calvin-Benson-Bassham cycle	N	-0.00182044459166109	0.0143456508357617	0.899026791783967	0.941311229836861
CENTFERMPWY	CENTFERM-PWY: pyruvate fermentation to butanoate	N	0.0366097560842292	0.0149603715310785	0.0144421712685119	0.0281779319858465
