feature	full.pathway.name	is.community.feat	solution.age	std.error.age	pval.age	padj.age
ANAEROFRUCATPWY	ANAEROFRUCAT-PWY: homolactic fermentation	N	-0.50268435	0.07272054	0.00000000	0.00000000
ANAGLYCOLYSISPWY	ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	N	 0.39607425	0.07545293	0.00000057	0.00000201
ARGININESYN4PWY	ARGININE-SYN4-PWY: L-ornithine biosynthesis II	N	-0.71874712	0.05852207	0.00000000	0.00000000
ARGPOLYAMINESYN	ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	N	-0.08485780	0.08451296	0.31708461	0.37663858
ARGSYNBSUBPWY	ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	N	 0.18379609	0.08309470	0.02862784	0.04717545
ARGSYNPWY	ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	N	 0.22705647	0.08250239	0.00672107	0.01289123
AROPWY	ARO-PWY: chorismate biosynthesis I	N	-0.05746882	0.08095351	0.47897285	0.52867757
ASPASNPWY	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	N	-0.52166582	0.07236323	0.00000000	0.00000000
BRANCHEDCHAINAASYNPWY	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	N	-0.15559937	0.08309128	0.06324681	0.09135651
CALVINPWY	CALVIN-PWY: Calvin-Benson-Bassham cycle	N	 0.19351455	0.08321560	0.02149466	0.03671351
CENTFERMPWY	CENTFERM-PWY: pyruvate fermentation to butanoate	N	-0.16415030	0.07974783	0.04144940	0.06339321
CITRULBIOPWY	CITRULBIO-PWY: L-citrulline biosynthesis	N	-0.16630514	0.08363773	0.04873154	0.07263172
COAPWY	COA-PWY: coenzyme A biosynthesis I (prokaryotic)	N	-0.25060694	0.08066118	0.00229837	0.00508375
COAPWY1	COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	N	-0.18046956	0.08323990	0.03187669	0.05179963
COBALSYNPWY	COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	N	 0.03868576	0.08341170	0.64353136	0.67226044
COLANSYNPWY	COLANSYN-PWY: colanic acid building blocks biosynthesis	N	-0.67294684	0.06175664	0.00000000	0.00000000
COMPLETEAROPWY	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	N	-0.06314900	0.08110291	0.43754104	0.49018587
DAPLYSINESYNPWY	DAPLYSINESYN-PWY: L-lysine biosynthesis I	N	 0.44471601	0.07596988	0.00000003	0.00000014
DTDPRHAMSYNPWY	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	N	-0.11477815	0.07864154	0.14671318	0.19730393
FASYNELONGPWY	FASYN-ELONG-PWY: fatty acid elongation -- saturated	N	-0.04939928	0.08459651	0.56021856	0.59260633
FERMENTATIONPWY	FERMENTATION-PWY: mixed acid fermentation	N	 0.18003702	0.08343294	0.03265668	0.05251688
FUCCATPWY	FUCCAT-PWY: fucose degradation	N	-0.17617767	0.08349219	0.03664058	0.05793172
GALACTARDEGPWY	GALACTARDEG-PWY: D-galactarate degradation I	N	-0.22756532	0.08259348	0.00665090	0.01286207
GALACTGLUCUROCATPWY	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	N	-0.05777246	0.08467723	0.49620561	0.54257997
GALACTUROCATPWY	GALACTUROCAT-PWY: D-galacturonate degradation I	N	-0.07153956	0.08460157	0.39922607	0.46477065
GLCMANNANAUTPWY	GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	N	-0.33997652	0.07976656	0.00003714	0.00011286
GLUCARDEGPWY	GLUCARDEG-PWY: D-glucarate degradation I	N	-0.23947926	0.08235079	0.00423528	0.00863576
GLUCARGALACTSUPERPWY	GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	N	-0.22756532	0.08259348	0.00665090	0.01286207
GLUCONEOPWY	GLUCONEO-PWY: gluconeogenesis I	N	 0.28708643	0.08082247	0.00052435	0.00137863
GLUCUROCATPWY	GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	N	-0.11940405	0.08405224	0.15770047	0.20848537
GLUDEGIPWY	GLUDEG-I-PWY: GABA shunt	N	 0.05356269	0.07712807	0.48856690	0.53673547
GLUTORNPWY	GLUTORN-PWY: L-ornithine biosynthesis I	N	 0.31000227	0.07994341	0.00016288	0.00045920
GLYCOCATPWY	GLYCOCAT-PWY: glycogen degradation I	N	-0.51142009	0.07282380	0.00000000	0.00000000
GLYCOGENSYNTHPWY	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	N	-0.06916938	0.08397482	0.41154375	0.47439033
GLYCOLYSIS	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	N	 0.25978390	0.07940408	0.00135268	0.00322988
GLYCOLYSISED	GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	N	-0.67315760	0.06243729	0.00000000	0.00000000
HEMEBIOSYNTHESISII	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	N	-0.09056822	0.08408424	0.28331939	0.34529551
HEMESYN2PWY	HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	N	-0.33332665	0.07809566	0.00003654	0.00011286
HISDEGPWY	HISDEG-PWY: L-histidine degradation I	N	-0.11297199	0.08385492	0.18012514	0.23679372
HISTSYNPWY	HISTSYN-PWY: L-histidine biosynthesis	N	 0.59448644	0.06517177	0.00000000	0.00000000
HSERMETANAPWY	HSERMETANA-PWY: L-methionine biosynthesis III	N	 0.25075057	0.08157045	0.00254838	0.00552150
ILEUSYNPWY	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	N	-0.09856769	0.08372303	0.24111081	0.30171085
KETOGLUCONMETPWY	KETOGLUCONMET-PWY: ketogluconate metabolism	N	-0.10316274	0.07876673	0.19248030	0.24884194
LACTOSECATPWY	LACTOSECAT-PWY: lactose and galactose degradation I	N	-0.42860189	0.07496103	0.00000006	0.00000026
METHACETATEPWY	METH-ACETATE-PWY: methanogenesis from acetate	N	-0.09369310	0.08444579	0.26912782	0.32971680
NAGLIPASYNPWY	NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	N	-0.10058473	0.08397371	0.23305417	0.29478203
NONMEVIPPPWY	NONMEVIPP-PWY: methylerythritol phosphate pathway I	N	 0.44210263	0.07240512	0.00000001	0.00000004
NONOXIPENTPWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	N	 0.15978088	0.08226301	0.05414845	0.07969017
OANTIGENPWY	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	N	-0.12100816	0.08313885	0.14781685	0.19765224
P122PWY	P122-PWY: heterolactic fermentation	N	-0.11289455	0.08425018	0.18245868	0.23852140
P124PWY	P124-PWY: Bifidobacterium shunt	N	 0.46932357	0.07489731	0.00000000	0.00000002
P161PWY	P161-PWY: acetylene degradation (anaerobic)	N	 0.50471885	0.07319001	0.00000000	0.00000000
P164PWY	P164-PWY: purine nucleobases degradation I (anaerobic)	N	-0.02600985	0.08465866	0.75913191	0.78254126
P41PWY	P41-PWY: pyruvate fermentation to acetate and (S)-lactate I	N	-0.19638266	0.07824929	0.01324693	0.02384447
P441PWY	P441-PWY: superpathway of N-acetylneuraminate degradation	N	 0.41741539	0.07707627	0.00000026	0.00000094
P461PWY	P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	N	 0.15415610	0.08173623	0.06140756	0.08925073
PANTOPWY	PANTO-PWY: phosphopantothenate biosynthesis I	N	-0.09540974	0.08243468	0.24912197	0.31007735
PANTOSYNPWY	PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	N	-0.26031503	0.07981091	0.00139778	0.00330383
PENTOSEPPWY	PENTOSE-P-PWY: pentose phosphate pathway	N	-0.25471631	0.08202121	0.00230289	0.00508375
PEPTIDOGLYCANSYNPWY	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	N	 0.31178685	0.07789469	0.00010210	0.00029135
PHOSLIPSYNPWY	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	N	-0.63534511	0.06549955	0.00000000	0.00000000
POLYAMSYNPWY	POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	N	-0.17992497	0.08343468	0.03276694	0.05251688
POLYISOPRENSYNPWY	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	N	 0.12555541	0.06328109	0.04924397	0.07293095
PWY01061	PWY0-1061: superpathway of L-alanine biosynthesis	N	 0.42824536	0.07626581	0.00000010	0.00000040
PWY01241	PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	N	-0.46437128	0.07372517	0.00000000	0.00000002
PWY01261	PWY0-1261: anhydromuropeptides recycling I	N	-0.04890429	0.08417759	0.56221627	0.59260633
PWY01296	PWY0-1296: purine ribonucleosides degradation	N	 0.12685999	0.08413361	0.13386507	0.18106605
PWY01297	PWY0-1297: superpathway of purine deoxyribonucleosides degradation	N	 0.48138126	0.07434472	0.00000000	0.00000001
PWY01298	PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	N	 0.17450006	0.08340281	0.03825527	0.05967822
PWY01319	PWY0-1319: CDP-diacylglycerol biosynthesis II	N	 0.23048680	0.08253518	0.00596609	0.01173164
